País;Abreviatura;Tiempo sentado (min/día);DESI
Francia;FRA;287,11;0,51
Bélgica;BEL;307,74;0,61
Paises Bajos;NLD;394,12;0,67
Alemania;DEU;303,9;0,56
Italia;ITA;301,93;0,42
Luxemburgo;LUX;297,09;0,61
Dinamarca;DNK;355,22;0,71
Irlanda;IRL;279,54;0,59
Reino Unido;GBR;292,31;0,6
España;ESP;274,79;0,54
Portugal;PRT;274,22;0,53
Suecia;SWE;346,16;0,67
Austria;AUT;318,02;0,57
Chipre;CYP;283,14;0,45
República Checa;CZE;339,83;0,5
Estonia;EST;328,09;0,58
Hungría;HUN;278,8;0,46
Letonia;LVA;295,72;0,47
Lituania;LTU;292,1;0,55
Malta;MLT;278,37;0,55
Polonia;POL;282,35;0,43
Eslovenia;SVN;284,46;0,51
Eslovaquia;SVK;314,43;0,46
Rumanía;ROU;256,64;0,33
Croacia;HRV;284,69;0,43
Grecia;GRC;337,85;0,38
Finlandia;FIN;299,32;0,68
Bulgaria;BGR;324,53;0,37
