Sample;Edevices;LL;OR;HL;Text
Global;TV;0,801;0,961;1,153;0.96 (0.80-1.15, p = 0.669)
Global;Reproductor DVD;1,107;1,181;1,259;1.18 (1.11-1.26, p < 0.001)
Global;Reproductor CD;1,189;1,27;1,356;1.27 (1.19-1.36, p < 0.001)
Global;Ordenador Sobremesa;1,017;1,087;1,162;1.09 (1.02-1.16, p = 0.014)
Global;Portátil;1,195;1,276;1,363;1.28 (1.19-1.36, p < 0.001)
Global;Índice PC;1,179;1,27;1,367;1.27 (1.18-1.37, p < 0.001)
Global;Tablet;0,981;1,047;1,118;1.05 (0.98-1.12, p = 0.167)
Global;Smartphone;1,134;1,217;1,307;1.22 (1.13-1.31, p < 0.001)
Global;Conexión a Internet;1,137;1,229;1,327;1.23 (1.14-1.33, p < 0.001)
Mujeres;TV;0,705;0,917;1,191;0.92 (0.71-1.19, p = 0.515)
Mujeres;Reproductor DVD;1,029;1,122;1,222;1.12 (1.03-1.22, p = 0.009)
Mujeres;Reproductor CD;1,127;1,23;1,344;1.23 (1.13-1.34, p < 0.001)
Mujeres;Ordenador Sobremesa;0,987;1,079;1,18;1.08 (0.99-1.18, p = 0.096)
Mujeres;Portátil;1,122;1,224;1,336;1.22 (1.12-1.34, p < 0.001)
Mujeres;Índice PC;1,117;1,231;1,356;1.23 (1.12-1.36, p < 0.001)
Mujeres;Tablet;0,88;0,96;1,048;0.96 (0.88-1.05, p = 0.362)
Mujeres;Smartphone;1;1,099;1,208;1.10 (1.00-1.21, p = 0.050)
Mujeres;Conexión a Internet;1,039;1,151;1,274;1.15 (1.04-1.27, p = 0.007)
Hombres;TV;0,79;1,019;1,314;1.02 (0.79-1.31, p = 0.887)
Hombres;Reproductor DVD;1,142;1,259;1,389;1.26 (1.14-1.39, p < 0.001)
Hombres;Reproductor CD;1,197;1,322;1,46;1.32 (1.20-1.46, p < 0.001)
Hombres;Ordenador Sobremesa;0,99;1,094;1,209;1.09 (0.99-1.21, p = 0.077)
Hombres;Portátil;1,216;1,345;1,488;1.34 (1.22-1.49, p < 0.001)
Hombres;Índice PC;1,179;1,324;1,487;1.32 (1.18-1.49, p < 0.001)
Hombres;Tablet;1,059;1,168;1,289;1.17 (1.06-1.29, p = 0.002)
Hombres;Smartphone;1,243;1,387;1,547;1.39 (1.24-1.55, p < 0.001)
Hombres;Conexión a Internet;1,191;1,341;1,509;1.34 (1.19-1.51, p < 0.001)
